time,ambient,bean,air,thermocouple_2_temp,thermocouple_3_temp
314,74,367,397,788,788
315,74,368,398,788,788
316,74,368,398,788,789
317,74,369,398,788,788
318,74,369,398,788,789
319,74,369,398,788,788
320,74,370,398,788,788
321,74,370,398,788,789
322,74,370,398,788,788
323,74,371,398,788,788
324,74,371,398,788,788
325,74,371,399,788,788
326,74,372,399,788,788
327,74,372,399,788,788
328,74,373,399,788,788
329,74,373,399,788,788
330,74,374,399,788,789
331,74,374,400,788,788
332,74,374,400,788,788
333,74,375,400,788,788
334,74,375,400,788,789
335,74,376,401,788,788
336,74,376,400,788,788
337,74,376,401,788,788
338,74,377,401,788,788
339,74,377,401,788,788
340,74,377,401,788,788
341,74,378,401,788,788
342,74,378,401,788,788
343,74,379,401,788,788
344,74,379,401,788,789
345,74,379,401,788,788
346,74,380,401,788,788
347,74,380,401,788,788
348,74,380,402,788,788
349,74,381,402,788,788
350,74,381,402,788,788
351,74,381,402,788,788
352,74,382,402,788,789
353,74,382,402,788,788
354,74,382,402,788,788
355,74,383,403,788,788
356,74,383,403,788,788
357,74,383,403,788,788
358,74,384,403,788,788
359,74,384,403,788,788
360,74,384,403,788,788
361,74,385,403,788,788
362,74,385,403,788,789
363,74,386,403,788,789
364,74,386,404,788,789
365,74,386,404,788,788
366,74,387,404,788,788
367,74,387,404,788,788
368,74,387,404,788,788
369,74,388,404,788,788
370,74,388,404,788,788
371,74,389,404,788,788
372,74,389,404,788,788
373,74,389,404,788,788
374,74,390,404,788,788
375,74,390,404,788,788
376,74,390,404,788,788
377,74,391,404,788,788
378,74,391,405,788,788
379,74,391,405,788,788
380,74,392,405,788,788
381,74,392,405,788,788
382,74,392,405,788,788
383,74,393,405,788,788
384,74,393,405,788,788
385,74,393,405,788,789
386,74,393,405,788,788
387,74,394,406,788,788
388,74,394,406,788,788
389,74,395,405,788,788
390,74,395,405,788,788
391,74,395,404,788,788
392,74,395,404,788,788
393,74,396,403,788,788
394,74,396,404,788,788
395,74,396,404,788,788
396,74,397,405,788,788
397,74,397,405,788,788
398,74,398,405,788,789
399,74,398,405,788,788
400,74,398,405,788,789
401,74,399,405,788,788
402,74,399,405,788,788
403,74,399,405,788,788
404,74,400,406,788,788
405,74,400,406,788,788
406,74,400,406,788,788
407,74,401,406,788,788
408,74,401,406,788,788
409,74,401,406,788,788
410,74,402,406,788,788
411,74,402,407,788,788
412,74,402,407,788,788
413,74,403,407,788,788
414,74,403,407,788,788
415,74,403,407,788,788
416,74,403,407,788,788
417,74,404,408,788,788
418,74,404,408,788,788
419,74,404,408,788,788
420,74,405,408,788,788
421,74,405,408,788,788
422,74,405,408,788,788
423,74,406,408,788,788
424,74,406,408,788,788
425,74,406,408,788,788
426,74,407,409,788,788
427,74,407,409,788,788
428,74,407,409,788,788
429,74,407,409,788,788
430,74,408,409,788,789
431,74,408,409,788,788
432,74,408,410,788,788
433,74,409,410,788,788
434,74,409,410,788,788
435,74,409,410,788,788
436,74,410,410,788,788
437,74,410,411,788,788
438,74,410,411,788,788
439,74,410,411,788,788
440,74,411,411,788,788
441,74,411,411,788,788
442,74,411,411,788,788
443,74,412,411,788,788
444,74,412,411,788,788
445,74,412,411,788,788
446,74,413,411,788,788
447,74,413,411,788,788
448,74,413,412,788,788
449,74,413,412,788,788
450,74,413,412,788,788
451,74,414,412,788,788
452,74,414,412,788,788
453,74,414,412,788,788
454,74,415,412,788,788
455,74,415,412,788,788
456,74,415,412,788,789
457,74,416,413,788,789
458,74,416,413,788,788
459,74,416,413,788,788
460,74,417,413,788,788
461,74,417,413,788,788
462,74,417,413,788,788
463,74,417,413,788,788
464,74,418,414,788,788
465,74,418,414,788,788
466,74,418,414,788,788
467,74,419,414,788,788
468,74,419,414,788,788
469,74,419,414,788,788
470,74,420,415,788,789
471,74,420,415,788,788
472,74,420,415,788,789
473,74,420,415,788,788
474,74,421,415,788,788
475,74,421,415,788,789
476,74,421,415,788,788
477,74,421,415,788,789
478,74,422,416,788,789
479,74,422,416,788,788
480,74,422,416,788,788
481,74,422,416,788,789
482,74,423,416,788,789
483,74,423,416,788,788
484,74,423,416,788,789
485,74,423,416,788,788
486,74,424,415,788,788
487,74,424,415,788,788
488,74,424,414,788,788
489,74,424,414,788,788
490,74,425,414,788,788
491,74,425,415,788,788
492,74,425,415,788,788
493,74,426,415,788,788
494,74,426,415,788,788
495,74,426,415,788,789
496,74,426,416,788,788
497,74,427,416,788,788
498,74,427,416,788,788
499,74,427,416,788,788
500,74,427,416,788,788
501,74,428,416,788,788
502,74,428,417,788,788
503,74,428,417,788,788
504,74,429,417,788,788
505,74,429,417,788,788
506,74,429,418,788,788
507,74,430,418,788,788
508,74,430,418,788,789
509,74,430,418,788,789
510,74,430,418,788,788
511,74,431,418,788,789
512,74,431,418,788,788
513,74,431,419,788,788
514,74,432,419,788,788
515,74,432,419,788,788
516,74,432,419,788,788
517,74,433,419,788,789
518,74,433,419,788,788
519,74,433,420,788,788
520,74,433,420,788,788
521,74,433,420,788,788
522,74,434,420,788,788
523,74,434,420,788,788
524,74,435,420,788,788
525,74,435,421,788,789
526,74,435,421,788,788
527,74,435,421,788,789
528,74,435,421,788,788
529,74,436,421,788,788
530,74,436,421,788,788
531,74,436,421,788,788
532,74,437,421,788,788
533,74,437,421,788,789
534,74,437,421,788,788
535,74,437,421,788,788
536,74,438,421,788,788
537,74,438,422,788,788
538,74,438,422,788,788
539,74,438,422,788,789
540,74,439,422,788,788
542,74,439,422,788,788
543,74,439,423,788,788
544,74,439,423,788,788
545,74,440,423,788,788
546,74,440,423,788,788
547,74,440,423,788,788
548,74,440,423,788,788
549,74,441,423,788,788
550,74,441,424,788,788
551,74,441,424,788,788
552,74,441,424,788,788
553,74,442,424,788,788
554,74,442,424,788,788
555,74,442,424,788,788
556,74,443,424,788,788
557,74,443,424,788,788
558,74,443,424,788,788
559,74,443,424,788,788
560,74,444,425,788,788
561,74,444,425,788,788
562,74,444,425,788,788
563,74,445,425,788,789
564,74,445,425,788,789
565,74,445,425,788,788
566,74,445,426,788,788
567,74,446,426,788,788
568,74,446,426,788,788
569,74,446,426,788,788
570,74,446,426,788,788
571,74,447,426,788,788
572,74,447,426,788,788
573,74,447,426,788,788
574,74,448,426,788,788
575,74,448,426,788,788
576,74,448,426,788,788
577,74,448,427,788,789
578,74,448,427,788,788
579,74,449,427,788,788
580,74,449,427,788,788
581,74,449,427,788,788
582,74,450,427,788,788
583,74,450,427,788,788
584,74,450,427,788,788
585,74,450,427,788,788
586,74,450,427,788,788
587,74,451,427,788,788
588,74,451,427,788,788
589,74,451,428,788,788
590,74,452,428,788,788
591,74,452,428,788,788
592,74,452,428,788,788
593,74,452,428,788,789
594,74,452,429,788,788
595,74,453,429,788,788
596,74,453,429,788,788
597,74,453,429,788,789
598,74,454,429,788,788
599,74,454,429,788,788
600,74,454,429,788,788
601,74,454,429,788,788
602,74,455,429,788,788
603,74,455,430,788,789
604,74,455,430,788,788
605,74,455,430,788,788
606,74,456,430,788,788
607,74,456,430,788,788
608,74,456,430,788,788
609,74,457,430,788,788
610,74,457,430,788,788
611,74,457,430,788,788
612,74,457,430,788,788
613,74,458,431,788,788
614,74,458,431,788,788
615,74,458,431,788,788
616,74,458,431,788,788
617,74,459,431,788,788
618,74,459,431,788,788
619,74,459,431,788,788
620,74,460,431,788,788
621,74,460,431,788,788
622,74,460,431,788,788
623,74,460,431,788,788
624,74,461,432,788,788
625,74,461,432,788,788
626,74,461,432,788,788
627,74,462,432,788,788
628,74,462,432,788,788
629,74,462,432,788,788
630,74,462,432,788,788
631,74,463,431,788,788
632,74,463,431,788,788
633,74,463,431,788,788
634,74,463,431,788,788
635,74,464,431,788,788
636,74,464,431,788,788
637,74,464,431,788,788
638,74,465,432,788,788
639,74,465,432,788,788
640,74,465,432,788,788
641,74,465,433,788,788
642,74,465,433,788,788
643,74,466,434,788,788
644,74,466,434,788,788
645,74,466,435,788,788
646,74,466,435,788,788
647,74,467,435,788,788
648,74,467,436,788,788
649,74,467,436,788,788
650,74,468,436,788,788
651,74,468,437,788,788
652,74,468,437,788,788
653,74,468,437,788,788
654,74,468,437,788,788
655,74,469,437,788,788
656,74,469,437,788,788
657,74,469,437,788,788
658,74,469,438,788,788
659,74,470,438,788,788
660,74,470,438,788,788
661,74,470,438,788,788
662,74,471,439,788,788
663,74,471,439,788,788
664,74,471,439,788,788
665,74,471,439,788,788
666,74,472,440,788,788
667,74,472,440,788,788
668,74,472,441,788,788
669,74,472,441,788,788
670,74,473,441,788,788
671,74,473,441,788,788
672,74,473,442,788,788
673,74,473,442,788,788
674,74,473,442,788,788
675,74,474,442,788,788
676,74,474,443,788,788
677,74,474,443,788,788
678,74,474,443,788,788
679,74,474,443,788,788
680,74,475,443,788,788
681,74,475,444,788,788
682,74,475,444,788,788
683,74,475,444,788,788
684,74,475,444,788,788
685,74,476,444,788,788
686,74,476,445,788,788
687,74,476,445,788,788
688,74,476,445,788,788
689,74,476,445,788,788
690,74,477,445,788,788
691,74,477,445,788,788
692,74,477,445,788,788
693,74,477,445,788,788
694,74,477,445,788,788
695,74,477,445,788,788
696,74,478,446,788,788
697,74,478,446,788,788
698,74,478,446,788,788
699,74,478,445,788,788
700,74,478,445,788,788
701,74,478,446,788,788
702,74,478,446,788,788
703,74,478,446,788,788
704,74,478,446,788,788
705,74,479,447,788,788
706,74,479,447,788,788
707,74,479,447,788,788
708,74,479,447,788,788
709,74,479,447,788,788
710,74,480,447,788,788
711,74,480,447,788,788
712,74,480,447,788,788
713,74,480,447,788,788
714,74,480,447,788,788
715,74,480,447,788,788
716,74,480,448,788,788
717,74,480,448,788,788
718,74,481,448,788,788
719,74,481,448,788,788
720,74,481,448,788,788
721,74,481,449,788,788
722,74,481,449,788,788
723,74,481,449,788,788
724,74,481,449,788,788
725,74,481,449,788,788
726,74,481,449,788,788
727,74,482,449,788,788
728,74,482,449,788,788
729,74,482,449,788,788
730,74,482,450,788,788
731,74,482,450,788,788
732,74,482,450,788,788
733,74,482,450,788,788
734,74,483,450,788,788
735,74,483,451,788,788
736,75,483,450,788,788
737,74,483,450,788,788
738,74,483,450,788,788
739,74,483,450,788,788
740,75,484,451,788,788
741,74,484,451,788,788
742,74,484,451,788,788
743,74,484,452,788,788
744,74,485,452,788,788
745,75,485,452,788,788
746,75,485,453,788,788
747,74,485,453,788,788
748,74,485,453,788,788
749,74,485,453,788,788
750,74,485,453,788,788
751,74,485,454,788,788
752,74,486,454,788,788
753,75,486,454,788,788
754,75,486,454,788,788
755,75,487,454,788,788
756,74,487,455,788,788
757,75,487,455,788,788
758,74,487,455,788,788
759,74,487,455,788,788
760,75,488,456,788,788
761,74,488,456,788,788
762,74,488,456,788,788
763,74,488,455,788,788
764,75,488,456,788,788
765,75,489,456,788,788
766,74,489,456,788,788
767,74,489,456,788,788
768,75,489,456,788,788
769,75,489,457,788,788
770,74,490,457,788,788
771,74,490,457,788,788
772,75,490,457,788,788
773,75,490,457,788,788
774,75,490,457,788,788
775,75,491,458,788,788
776,75,491,458,788,788
777,75,491,458,788,788
778,75,491,458,788,788
779,75,491,458,788,788
780,75,492,459,788,788
781,75,492,459,788,788
782,75,492,459,788,788
783,75,492,459,788,788
784,75,492,459,788,788
785,75,493,459,788,788
786,75,493,459,788,788
787,74,493,459,788,788
788,75,493,459,788,788
789,75,494,459,788,788
790,75,494,459,788,788
791,75,495,459,788,788
792,75,495,460,788,788
793,75,495,460,788,788
794,75,495,460,788,788
795,75,495,460,788,788
796,75,496,460,788,788
797,75,496,460,788,788
798,75,496,460,788,788
799,75,496,460,788,788
800,75,496,460,788,788
801,74,497,461,788,788
802,75,497,461,788,788
803,75,498,461,788,788
804,75,498,461,788,788
805,75,498,462,788,788
806,74,499,461,788,788
807,75,499,461,788,788
808,75,499,460,788,788
809,75,500,460,788,788
810,75,500,460,788,788
811,75,500,459,788,788
812,75,501,459,788,788
813,75,501,460,788,788
814,75,501,460,788,788
815,75,501,461,788,788
816,75,501,461,788,788
817,75,501,461,788,788
818,75,502,461,788,788
