2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:46:16,009,497.861974001,1,443.786200
2015-07-25 23:46:17,289,499.141931057,1,443.527200
2015-07-25 23:46:17,577,499.429936886,3,863.627800
2015-07-25 23:46:17,897,499.749956846,1,443.257200
2015-07-25 23:46:18,185,500.037842989,0,334.917200
2015-07-25 23:46:18,473,500.325961828,1,442.986800
2015-07-25 23:46:19,208,501.061830997,1,442.744200
2015-07-25 23:46:19,337,501.189973831,3,863.836800
2015-07-25 23:46:19,529,501.381834984,3,863.627800
2015-07-25 23:46:19,688,501.541759014,1,442.513200
2015-07-25 23:46:20,457,502.309839964,2,861.481400
2015-07-25 23:46:21,064,502.917719841,0,335.127800
2015-07-25 23:46:22,217,504.069895983,1,442.716800
2015-07-25 23:46:22,408,504.261695862,2,861.685800
2015-07-25 23:46:22,440,504.293689966,3,863.836800
2015-07-25 23:46:23,240,505.093786001,1,442.458200
2015-07-25 23:46:24,777,506.62996006,1,442.199200
2015-07-25 23:46:25,001,506.853996038,1,442.414800
2015-07-25 23:46:26,216,508.069676876,0,335.402800
2015-07-25 23:46:26,472,508.325770855,0,335.171200
2015-07-25 23:46:27,336,509.189759016,1,442.641200
2015-07-25 23:46:27,400,509.253698826,0,335.386800
2015-07-25 23:46:28,648,510.501829863,1,442.879200
2015-07-25 23:46:31,016,512.869701862,1,443.138200
2015-07-25 23:46:31,465,513.317900896,0,335.608800
2015-07-25 23:46:32,648,514.501773834,1,443.396800
2015-07-25 23:46:32,872,514.725776911,1,443.165800
2015-07-25 23:46:33,032,514.885769844,1,443.392200
2015-07-25 23:46:34,153,516.005982876,1,443.666800
2015-07-25 23:46:35,080,516.933779955,1,443.905200
2015-07-25 23:46:35,880,517.733778,0,335.851200
2015-07-25 23:46:37,224,519.077759981,3,863.627800
2015-07-25 23:46:37,288,519.141548872,0,335.636200
2015-07-25 23:46:37,801,519.653944969,1,444.131800
